               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11542,            0.031363,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033077,           0.0033077,            0.070231
                   1,            0.084888,            0.026459,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066191,           0.0066191,            0.040209
                   2,            0.078567,            0.025498,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099085,           0.0099085,            0.010165
                   3,            0.071517,            0.025232,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.066093,            0.023743,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.063658,            0.023289,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.061125,            0.022614,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.059679,            0.021991,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.05752,            0.021147,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.057072,            0.020748,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.055901,            0.021114,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.054104,            0.020176,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.054595,            0.020014,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.053013,            0.019973,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.052867,            0.019773,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.051741,            0.019267,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.05155,            0.019485,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.050988,            0.019182,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.050437,            0.018987,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
