               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11799,            0.031157,                   0,          4.7281e-05,           0.0043764,          2.3819e-05,          4.7756e-06,             0.11164,            0.029237,                   0,           0.0032576,           0.0032576,            0.070682
                   1,             0.11014,            0.029677,                   0,          7.7745e-05,           0.0074488,          4.2354e-05,          9.6187e-06,              0.1049,            0.026467,                   0,             0.00658,             0.00658,            0.040671
                   2,             0.10022,            0.027664,                   0,           0.0010859,             0.10454,          0.00092878,          0.00016624,             0.10687,            0.020298,                   0,           0.0098915,           0.0098915,            0.010649
                   3,            0.092602,            0.025466,                   0,             0.24033,             0.02107,            0.033347,           0.0066563,            0.091487,            0.026145,                   0,           0.0099505,           0.0099505,           0.0099505
                   4,            0.082663,            0.023621,                   0,             0.16792,             0.20259,            0.071703,            0.013394,            0.087895,            0.057831,                   0,           0.0099505,           0.0099505,           0.0099505
                   5,            0.077781,            0.021138,                   0,             0.26679,             0.30956,             0.13687,            0.027138,             0.08013,            0.023162,                   0,            0.009934,            0.009934,            0.009934
                   6,            0.074724,            0.020502,                   0,             0.42201,             0.33387,             0.25291,            0.055893,            0.073354,            0.016955,                   0,           0.0099175,           0.0099175,           0.0099175
                   7,            0.073334,            0.019383,                   0,             0.44762,             0.33306,              0.2676,            0.065482,            0.070495,            0.018018,                   0,            0.009901,            0.009901,            0.009901
                   8,            0.069592,            0.018708,                   0,             0.46292,             0.37439,              0.3184,            0.079821,            0.067406,            0.015264,                   0,           0.0098845,           0.0098845,           0.0098845
                   9,            0.067431,            0.018743,                   0,             0.50309,             0.41815,             0.37175,             0.10505,            0.064097,            0.017218,                   0,            0.009868,            0.009868,            0.009868
                  10,            0.067305,            0.018364,                   0,             0.53702,             0.44246,             0.41309,             0.10478,            0.063838,            0.016282,                   0,           0.0098515,           0.0098515,           0.0098515
                  11,            0.065064,             0.01827,                   0,             0.54984,             0.37034,              0.3732,            0.092499,            0.066458,            0.014455,                   0,            0.009835,            0.009835,            0.009835
                  12,            0.063339,            0.017889,                   0,             0.59301,             0.46191,              0.4522,             0.12622,            0.060558,            0.014588,                   0,           0.0098185,           0.0098185,           0.0098185
                  13,             0.06415,            0.018006,                   0,              0.6047,             0.45786,             0.45869,             0.12756,             0.06058,            0.013737,                   0,            0.009802,            0.009802,            0.009802
                  14,            0.061969,            0.017279,                   0,             0.68259,             0.49595,             0.50748,             0.14244,             0.05788,            0.013445,                   0,           0.0097855,           0.0097855,           0.0097855
                  15,            0.061087,            0.017355,                   0,              0.6614,             0.46221,             0.48827,              0.1467,             0.05854,            0.014647,                   0,            0.009769,            0.009769,            0.009769
                  16,            0.060362,            0.017306,                   0,             0.62253,             0.49676,             0.48817,             0.13775,            0.059074,            0.013919,                   0,           0.0097525,           0.0097525,           0.0097525
                  17,            0.059379,             0.01722,                   0,             0.65485,              0.4846,             0.49098,             0.13716,            0.059514,            0.013747,                   0,            0.009736,            0.009736,            0.009736
                  18,            0.057815,            0.017321,                   0,             0.66978,             0.50972,             0.52332,             0.16008,            0.056082,            0.013418,                   0,           0.0097195,           0.0097195,           0.0097195
                  19,            0.057895,            0.016338,                   0,               0.592,             0.45543,             0.43716,             0.12192,            0.056862,             0.01315,                   0,            0.009703,            0.009703,            0.009703
                  20,            0.057784,            0.016979,                   0,             0.65666,             0.52269,             0.52845,              0.1599,            0.058394,            0.015031,                   0,           0.0096865,           0.0096865,           0.0096865
                  21,            0.057129,            0.016748,                   0,             0.72515,             0.50729,              0.5421,             0.16124,            0.056925,            0.013454,                   0,             0.00967,             0.00967,             0.00967
                  22,            0.056491,            0.016553,                   0,             0.75182,             0.52781,             0.57203,             0.18198,            0.054197,            0.012638,                   0,           0.0096535,           0.0096535,           0.0096535
                  23,            0.053987,            0.016074,                   0,             0.70389,             0.48541,             0.51219,             0.17553,            0.055815,            0.013525,                   0,            0.009637,            0.009637,            0.009637
                  24,            0.054282,            0.015338,                   0,             0.73033,             0.55429,             0.59453,             0.19867,            0.052993,            0.012661,                   0,           0.0096205,           0.0096205,           0.0096205
                  25,            0.053674,             0.01596,                   0,             0.74509,             0.55429,             0.59427,             0.20306,            0.052608,            0.012206,                   0,            0.009604,            0.009604,            0.009604
                  26,            0.053993,            0.015786,                   0,             0.77084,             0.55335,             0.60749,             0.21021,            0.050984,            0.011844,                   0,           0.0095875,           0.0095875,           0.0095875
                  27,            0.052441,            0.015386,                   0,             0.74657,             0.57455,             0.60822,             0.20844,            0.050424,            0.011611,                   0,            0.009571,            0.009571,            0.009571
                  28,            0.053292,            0.015249,                   0,             0.78925,             0.56752,             0.61253,             0.21487,            0.051461,            0.012013,                   0,           0.0095545,           0.0095545,           0.0095545
                  29,            0.053181,            0.015808,                   0,             0.78907,             0.57296,             0.62269,             0.21957,            0.050312,            0.011921,                   0,            0.009538,            0.009538,            0.009538
                  30,            0.051862,            0.015564,                   0,             0.80908,             0.59724,             0.65094,              0.2266,            0.051237,            0.011568,                   0,           0.0095215,           0.0095215,           0.0095215
                  31,            0.051469,            0.015121,                   0,             0.81943,             0.60049,             0.66545,             0.24393,             0.04957,             0.01131,                   0,            0.009505,            0.009505,            0.009505
                  32,            0.050274,             0.01476,                   0,             0.76554,             0.61386,             0.64096,             0.21975,            0.051399,            0.011793,                   0,           0.0094885,           0.0094885,           0.0094885
                  33,            0.051153,            0.014581,                   0,             0.83083,             0.63776,             0.69607,             0.25001,            0.047446,            0.011215,                   0,            0.009472,            0.009472,            0.009472
                  34,            0.051038,            0.014592,                   0,             0.83346,             0.62804,             0.68972,             0.25229,            0.047328,             0.01106,                   0,           0.0094555,           0.0094555,           0.0094555
                  35,             0.05042,            0.014862,                   0,             0.80858,             0.62723,             0.68263,             0.24949,            0.047064,            0.011309,                   0,            0.009439,            0.009439,            0.009439
                  36,            0.049594,            0.014776,                   0,             0.80813,             0.62723,             0.67676,             0.23483,             0.04819,            0.011254,                   0,           0.0094225,           0.0094225,           0.0094225
                  37,            0.049741,            0.014688,                   0,             0.84787,             0.62781,             0.70657,             0.27653,             0.04607,            0.010899,                   0,            0.009406,            0.009406,            0.009406
                  38,            0.048519,            0.013886,                   0,             0.82297,             0.61102,             0.68796,             0.25896,            0.047849,            0.011537,                   0,           0.0093895,           0.0093895,           0.0093895
                  39,            0.048712,            0.014195,                   0,             0.79884,             0.58571,             0.64738,             0.24411,            0.048344,            0.011175,                   0,            0.009373,            0.009373,            0.009373
                  40,            0.048021,            0.014019,                   0,             0.81038,             0.64071,             0.70997,             0.26221,            0.046715,            0.011083,                   0,           0.0093565,           0.0093565,           0.0093565
                  41,            0.048794,            0.014349,                   0,             0.82858,               0.641,             0.71256,             0.27427,            0.045564,            0.010663,                   0,             0.00934,             0.00934,             0.00934
                  42,             0.04871,             0.01401,                   0,             0.85285,             0.64347,              0.7135,             0.27595,             0.04625,            0.011053,                   0,           0.0093235,           0.0093235,           0.0093235
                  43,            0.047077,            0.014049,                   0,             0.80369,             0.64695,             0.70739,              0.2825,            0.046265,            0.010646,                   0,            0.009307,            0.009307,            0.009307
                  44,            0.047427,            0.013942,                   0,             0.81624,             0.65871,             0.70686,             0.28458,            0.047053,            0.010587,                   0,           0.0092905,           0.0092905,           0.0092905
                  45,            0.046447,            0.013523,                   0,             0.84183,             0.65128,             0.72764,             0.28993,            0.045732,            0.010791,                   0,            0.009274,            0.009274,            0.009274
                  46,            0.046614,            0.013625,                   0,             0.84452,             0.68228,             0.75257,             0.30027,            0.044795,            0.010391,                   0,           0.0092575,           0.0092575,           0.0092575
                  47,            0.046366,            0.013985,                   0,             0.80714,             0.64101,             0.70555,             0.27244,            0.045838,            0.011177,                   0,            0.009241,            0.009241,            0.009241
                  48,            0.047783,            0.013765,                   0,             0.77079,             0.61264,             0.65388,             0.26058,            0.047224,            0.011943,                   0,           0.0092245,           0.0092245,           0.0092245
                  49,            0.047514,            0.013723,                   0,             0.82903,             0.62318,             0.68626,             0.26286,            0.047134,            0.011262,                   0,            0.009208,            0.009208,            0.009208
                  50,            0.044872,            0.013419,                   0,              0.8689,             0.69288,             0.76575,             0.30801,            0.043649,            0.010386,                   0,           0.0091915,           0.0091915,           0.0091915
                  51,            0.046175,            0.013675,                   0,             0.84813,             0.66528,             0.73744,             0.30054,            0.044867,             0.01012,                   0,            0.009175,            0.009175,            0.009175
                  52,            0.046383,             0.01289,                   0,             0.82076,              0.6828,             0.74874,             0.29696,            0.044253,            0.010342,                   0,           0.0091585,           0.0091585,           0.0091585
                  53,            0.044424,            0.013194,                   0,             0.87691,               0.687,             0.76902,             0.30843,            0.043578,            0.010264,                   0,            0.009142,            0.009142,            0.009142
                  54,            0.045287,            0.013053,                   0,             0.86429,             0.70989,             0.77314,              0.3338,            0.042635,           0.0098734,                   0,           0.0091255,           0.0091255,           0.0091255
                  55,            0.044667,            0.012981,                   0,             0.85317,              0.6969,             0.76442,             0.31666,            0.042367,            0.010015,                   0,            0.009109,            0.009109,            0.009109
