               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11335,             0.02683,                   0,            0.022231,             0.23501,            0.018106,           0.0030185,            0.096368,            0.022506,                   0,           0.0032576,           0.0032576,            0.070682
                   1,            0.084903,            0.020476,                   0,             0.25225,             0.30956,             0.15803,            0.032642,            0.080812,             0.01811,                   0,             0.00658,             0.00658,            0.040671
                   2,            0.075088,            0.018143,                   0,             0.41626,              0.3987,             0.32271,            0.086812,            0.070951,            0.020623,                   0,           0.0098915,           0.0098915,            0.010649
                   3,            0.066194,            0.016854,                   0,             0.66798,             0.48379,             0.50827,             0.14077,            0.063042,            0.016575,                   0,           0.0099505,           0.0099505,           0.0099505
                   4,            0.060172,            0.015934,                   0,             0.77344,             0.58266,             0.63256,             0.22975,            0.053879,            0.013053,                   0,           0.0099505,           0.0099505,           0.0099505
                   5,            0.055589,            0.014694,                   0,             0.74936,             0.55726,             0.60576,             0.20577,            0.054819,            0.012327,                   0,            0.009934,            0.009934,            0.009934
                   6,            0.053902,            0.014482,                   0,             0.78521,             0.61831,             0.65989,             0.23569,            0.050128,            0.011275,                   0,           0.0099175,           0.0099175,           0.0099175
                   7,            0.052268,            0.013663,                   0,             0.81625,             0.65883,             0.69205,             0.27451,            0.048692,            0.011067,                   0,            0.009901,            0.009901,            0.009901
                   8,            0.050052,            0.013341,                   0,             0.83712,             0.68152,             0.74733,             0.29109,            0.046735,            0.010762,                   0,           0.0098845,           0.0098845,           0.0098845
                   9,            0.047641,            0.013224,                   0,             0.83616,             0.68239,              0.7546,             0.31612,              0.0456,             0.01084,                   0,            0.009868,            0.009868,            0.009868
                  10,            0.047439,            0.013071,                   0,             0.86691,             0.71556,             0.78146,             0.32241,             0.04411,            0.010229,                   0,           0.0098515,           0.0098515,           0.0098515
                  11,            0.046791,            0.012785,                   0,             0.86307,             0.74392,             0.79198,             0.33711,            0.044763,            0.010517,                   0,            0.009835,            0.009835,            0.009835
                  12,            0.045001,            0.012454,                   0,             0.85747,             0.71664,             0.78739,              0.3338,            0.043508,            0.009674,                   0,           0.0098185,           0.0098185,           0.0098185
                  13,            0.046241,            0.012571,                   0,             0.86424,              0.7342,             0.80036,             0.32975,            0.044693,           0.0096267,                   0,            0.009802,            0.009802,            0.009802
                  14,            0.043724,             0.01203,                   0,             0.88004,             0.75041,             0.81082,             0.35371,            0.042218,           0.0094991,                   0,           0.0097855,           0.0097855,           0.0097855
                  15,            0.044132,            0.012129,                   0,             0.89498,             0.75279,             0.81819,             0.35054,            0.043309,           0.0098938,                   0,            0.009769,            0.009769,            0.009769
                  16,            0.042429,            0.011991,                   0,             0.88735,             0.76013,             0.82858,             0.35347,            0.041465,           0.0092269,                   0,           0.0097525,           0.0097525,           0.0097525
                  17,            0.042452,            0.011882,                   0,              0.8757,             0.74221,             0.81035,             0.34176,             0.04235,           0.0094931,                   0,            0.009736,            0.009736,            0.009736
                  18,            0.041537,            0.012109,                   0,             0.89755,             0.78606,              0.8404,              0.3737,            0.040771,             0.00913,                   0,           0.0097195,           0.0097195,           0.0097195
                  19,            0.042956,             0.01155,                   0,             0.88348,              0.7619,             0.81895,             0.36521,            0.042563,           0.0092204,                   0,            0.009703,            0.009703,            0.009703
                  20,            0.041685,            0.011724,                   0,             0.89735,             0.75092,             0.81985,             0.37119,            0.041689,           0.0093223,                   0,           0.0096865,           0.0096865,           0.0096865
                  21,             0.04143,            0.011545,                   0,             0.88871,             0.77007,             0.83682,             0.38189,            0.039853,            0.009266,                   0,             0.00967,             0.00967,             0.00967
                  22,            0.040269,            0.011459,                   0,             0.89971,             0.76256,             0.83694,             0.37941,            0.040758,           0.0091364,                   0,           0.0096535,           0.0096535,           0.0096535
                  23,            0.039925,            0.011299,                   0,             0.89014,             0.79335,             0.84676,             0.37777,             0.04025,           0.0088246,                   0,            0.009637,            0.009637,            0.009637
                  24,            0.038611,            0.010706,                   0,             0.88556,             0.76742,             0.82705,             0.36367,             0.04047,           0.0091898,                   0,           0.0096205,           0.0096205,           0.0096205
                  25,            0.038843,            0.011415,                   0,             0.89421,             0.74959,             0.82959,              0.3751,            0.041405,           0.0094057,                   0,            0.009604,            0.009604,            0.009604
                  26,            0.039565,            0.011254,                   0,             0.88983,             0.77796,             0.84263,             0.38442,            0.040292,           0.0089793,                   0,           0.0095875,           0.0095875,           0.0095875
                  27,            0.038554,            0.011009,                   0,             0.89476,              0.7966,             0.85751,             0.39302,            0.039529,           0.0087233,                   0,            0.009571,            0.009571,            0.009571
                  28,            0.039417,            0.010722,                   0,             0.89791,             0.78201,             0.84311,             0.38318,            0.038614,           0.0087855,                   0,           0.0095545,           0.0095545,           0.0095545
