epoch,;train/box_loss,;train/obj_loss,;train/cls_loss,;metrics/precision,;metrics/recall,;metrics/mAP_0.5,;metrics/mAP_0.5:0.95,;val/box_loss,;val/obj_loss,;val/cls_loss,;x/lr0,;x/lr1,;x/lr2
0;0.11325,;0.026788,;0;0.023711,;0.12804,;0.010006,;0.0018795,;0.095604,;0.021813,;0;0.0032576,;0.0032576,;0.070682
1;0.084468,;0.020522,;0;0.25471,;0.27391,;0.14934,;0.02928,;0.080743,;0.019181,;0;0.00658,;0.00658,;0.040671
2;0.074967,;0.018184,;0;0.38939,;0.37196,;0.29563,;0.072123,;0.07654,;0.0155,;0;0.0098915,;0.0098915,;0.010649
3;0.067831,;0.016698,;0;0.71274,;0.54376,;0.56151,;0.16974,;0.064365,;0.016231,;0;0.0099505,;0.0099505,;0.0099505
4;0.059257,;0.015792,;0;0.70612,;0.52998,;0.56483,;0.20837,;0.056404,;0.014167,;0;0.0099505,;0.0099505,;0.0099505
5;0.055126,;0.014881,;0;0.7873,;0.60291,;0.65612,;0.23809,;0.053226,;0.011691,;0;0.009934,;0.009934,;0.009934
6;0.053117,;0.014613,;0;0.79185,;0.61964,;0.65864,;0.23744,;0.049836,;0.011378,;0;0.0099175,;0.0099175,;0.0099175
7;0.052057,;0.01355,;0;0.83094,;0.67099,;0.72853,;0.28859,;0.048141,;0.010968,;0;0.009901,;0.009901,;0.009901
8;0.049714,;0.013177,;0;0.85753,;0.70259,;0.75896,;0.29074,;0.048118,;0.010486,;0;0.0098845,;0.0098845,;0.0098845
9;0.048311,;0.013113,;0;0.88838,;0.68558,;0.76539,;0.31146,;0.04515,;0.010336,;0;0.009868,;0.009868,;0.009868
10;0.047399,;0.013163,;0;0.84753,;0.68558,;0.76059,;0.29932,;0.047017,;0.010556,;0;0.0098515,;0.0098515,;0.0098515
11;0.046654,;0.01287,;0;0.86619,;0.75017,;0.79253,;0.32316,;0.045013,;0.010404,;0;0.009835,;0.009835,;0.009835
12;0.045269,;0.012439,;0;0.85797,;0.73429,;0.79093,;0.3242,;0.045885,;0.010414,;0;0.0098185,;0.0098185,;0.0098185
13;0.045407,;0.01256,;0;0.89173,;0.7342,;0.8008,;0.32806,;0.043629,;0.0097178,;0;0.009802,;0.009802,;0.009802
14;0.043766,;0.012124,;0;0.89357,;0.74161,;0.80915,;0.34555,;0.042006,;0.0097647,;0;0.0097855,;0.0097855,;0.0097855
15;0.043935,;0.012088,;0;0.82847,;0.66928,;0.72535,;0.27791,;0.046201,;0.010837,;0;0.009769,;0.009769,;0.009769
16;0.042647,;0.01206,;0;0.88776,;0.73068,;0.80266,;0.35621,;0.042615,;0.0094636,;0;0.0097525,;0.0097525,;0.0097525
17;0.043199,;0.012041,;0;0.89064,;0.76557,;0.81697,;0.34688,;0.042508,;0.0094078,;0;0.009736,;0.009736,;0.009736
18;0.042711,;0.012241,;0;0.87522,;0.76499,;0.81586,;0.36657,;0.042862,;0.0095027,;0;0.0097195,;0.0097195,;0.0097195
19;0.042335,;0.011549,;0;0.88156,;0.77805,;0.8392,;0.37845,;0.04033,;0.0092134,;0;0.009703,;0.009703,;0.009703
20;0.04057,;0.011644,;0;0.88909,;0.77796,;0.84307,;0.37566,;0.042806,;0.0090954,;0;0.0096865,;0.0096865,;0.0096865
21;0.041842,;0.011529,;0;0.90313,;0.77062,;0.83807,;0.3863,;0.039311,;0.0091457,;0;0.00967,;0.00967,;0.00967
22;0.040338,;0.011358,;0;0.88593,;0.77411,;0.83474,;0.37468,;0.040957,;0.0089745,;0;0.0096535,;0.0096535,;0.0096535
23;0.039254,;0.011173,;0;0.89358,;0.78282,;0.84615,;0.38848,;0.040222,;0.008767,;0;0.009637,;0.009637,;0.009637
24;0.039268,;0.010765,;0;0.89431,;0.79335,;0.84974,;0.37947,;0.040467,;0.0090396,;0;0.0096205,;0.0096205,;0.0096205
25;0.039485,;0.011433,;0;0.90889,;0.768,;0.83371,;0.37895,;0.041298,;0.0092271,;0;0.009604,;0.009604,;0.009604
26;0.039634,;0.011185,;0;0.8929,;0.77877,;0.83891,;0.39173,;0.038573,;0.0089419,;0;0.0095875,;0.0095875,;0.0095875
27;0.037933,;0.010912,;0;0.90473,;0.80808,;0.86775,;0.40928,;0.038453,;0.0087409,;0;0.009571,;0.009571,;0.009571
28;0.038954,;0.01076,;0;0.91571,;0.80146,;0.84834,;0.39651,;0.039433,;0.0089991,;0;0.0095545,;0.0095545,;0.0095545
29;0.038437,;0.010995,;0;0.91562,;0.78267,;0.84903,;0.39963,;0.040205,;0.0089761,;0;0.009538,;0.009538,;0.009538
30;0.037959,;0.011032,;0;0.92739,;0.77796,;0.85174,;0.4124,;0.038071,;0.0085856,;0;0.0095215,;0.0095215,;0.0095215
31;0.037828,;0.01071,;0;0.90256,;0.80314,;0.86752,;0.40727,;0.038482,;0.0085057,;0;0.009505,;0.009505,;0.009505
32;0.038092,;0.010469,;0;0.91852,;0.80794,;0.8689,;0.41921,;0.039109,;0.0084846,;0;0.0094885,;0.0094885,;0.0094885
33;0.03783,;0.010584,;0;0.90191,;0.77391,;0.85013,;0.40266,;0.040457,;0.0087611,;0;0.009472,;0.009472,;0.009472
34;0.037864,;0.010572,;0;0.90722,;0.77658,;0.85416,;0.40401,;0.039745,;0.008899,;0;0.0094555,;0.0094555,;0.0094555
35;0.037596,;0.010644,;0;0.91532,;0.78832,;0.86415,;0.41761,;0.037619,;0.008523,;0;0.009439,;0.009439,;0.009439
36;0.036056,;0.010573,;0;0.89792,;0.79835,;0.86345,;0.41897,;0.037903,;0.008366,;0;0.0094225,;0.0094225,;0.0094225
37;0.037271,;0.010433,;0;0.92185,;0.80875,;0.86625,;0.40953,;0.039529,;0.0083358,;0;0.009406,;0.009406,;0.009406
38;0.03595,;0.010026,;0;0.9202,;0.79092,;0.8651,;0.42634,;0.037598,;0.0085176,;0;0.0093895,;0.0093895,;0.0093895
39;0.036076,;0.0104,;0;0.93128,;0.80551,;0.87444,;0.42753,;0.038074,;0.0082734,;0;0.009373,;0.009373,;0.009373
40;0.035937,;0.010207,;0;0.91644,;0.80875,;0.8639,;0.41148,;0.039005,;0.0084415,;0;0.0093565,;0.0093565,;0.0093565
41;0.03556,;0.010455,;0;0.91508,;0.82086,;0.87482,;0.43358,;0.036852,;0.0082717,;0;0.00934,;0.00934,;0.00934
42;0.036554,;0.010267,;0;0.9108,;0.81921,;0.87369,;0.43048,;0.036931,;0.0083071,;0;0.0093235,;0.0093235,;0.0093235
43;0.03524,;0.010263,;0;0.92325,;0.81848,;0.88688,;0.42338,;0.036654,;0.0081763,;0;0.009307,;0.009307,;0.009307
