               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079465,            0.050836,                   0,             0.36676,             0.28917,             0.23682,            0.065533,            0.066326,             0.03366,                   0,           0.0053118,           0.0053118,            0.066215
                   1,            0.056825,            0.033969,                   0,             0.69213,             0.53528,             0.56365,             0.17302,            0.054134,            0.027783,                   0,            0.010616,            0.010616,              0.0391
                   2,            0.053559,            0.032719,                   0,             0.76049,             0.56653,             0.61782,             0.21354,            0.050609,            0.026885,                   0,             0.01526,             0.01526,             0.01526
                   3,            0.048942,            0.031501,                   0,             0.83254,             0.65937,             0.73773,             0.28389,            0.044996,            0.025116,                   0,             0.01526,             0.01526,             0.01526
                   4,             0.04491,            0.028203,                   0,             0.80889,             0.69683,             0.77028,             0.31385,            0.044069,            0.023465,                   0,            0.015234,            0.015234,            0.015234
                   5,            0.043109,            0.027096,                   0,             0.88868,             0.73236,             0.80257,             0.33706,            0.041468,            0.022113,                   0,            0.015209,            0.015209,            0.015209
                   6,            0.040813,            0.025586,                   0,               0.883,             0.74673,             0.82045,             0.34923,            0.041435,            0.022014,                   0,            0.015184,            0.015184,            0.015184
                   7,            0.039494,            0.024955,                   0,             0.89389,             0.77291,             0.84493,             0.38981,            0.039115,            0.020381,                   0,            0.015159,            0.015159,            0.015159
                   8,            0.038389,            0.024312,                   0,             0.90917,             0.78749,             0.85506,             0.39938,            0.038582,            0.020698,                   0,            0.015133,            0.015133,            0.015133
                   9,            0.036966,            0.023309,                   0,             0.89214,             0.77778,             0.84845,             0.39399,            0.038936,            0.020742,                   0,            0.015108,            0.015108,            0.015108
                  10,            0.036706,            0.023159,                   0,             0.91317,             0.80049,             0.86552,             0.40724,            0.037898,            0.020181,                   0,            0.015083,            0.015083,            0.015083
                  11,            0.035785,            0.022552,                   0,             0.90081,             0.79562,             0.86344,              0.4064,            0.037857,            0.020163,                   0,            0.015058,            0.015058,            0.015058
