               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
0;0,096112;0,029778;0;0,28422;0,27899;0,18373;0,042956;0,080329;0,021571;0;0,0052807;0,0052807;0,066374
1;0,069036;0,024073;0;0,40274;0,32685;0,27417;0,073514;0,070668;0,021094;0;0,010585;0,010585;0,039261
2;0,0641;0,02326;0;0,64253;0,52555;0,5468;0,16843;0,05814;0,022103;0;0,01526;0,01526;0,01526
3;0,060511;0,023817;0;0,73562;0,57664;0,62058;0,21439;0,055701;0,021025;0;0,01526;0,01526;0,01526
4;0,056372;0,021493;0;0,82217;0,69505;0,7461;0,2916;0,048418;0,016646;0;0,015234;0,015234;0,015234
5;0,053375;0,020904;0;0,82743;0,70397;0,74654;0,28255;0,048661;0,016549;0;0,015209;0,015209;0,015209
6;0,05151;0,019692;0;0,84493;0,70722;0,78601;0,31024;0,047071;0,016172;0;0,015184;0,015184;0,015184
7;0,049314;0,019336;0;0,87936;0,75076;0,82224;0,347;0,045848;0,01501;0;0,015159;0,015159;0,015159
8;0,048524;0,019261;0;0,86856;0,7396;0,80336;0,33576;0,045822;0,015702;0;0,015133;0,015133;0,015133
9;0,046905;0,018396;0;0,88088;0,7867;0,84277;0,38145;0,043735;0,014383;0;0,015108;0,015108;0,015108
10;0,046483;0,01857;0;0,88059;0,75101;0,82007;0,34359;0,044997;0,014669;0;0,015083;0,015083;0,015083
11;0,04586;0,018079;0;0,87967;0,78102;0,83855;0,37;0,044387;0,014715;0;0,015058;0,015058;0,015058
12;0,04491;0,018044;0;0,91655;0,78751;0,85718;0,3701;0,043556;0,014684;0;0,015032;0,015032;0,015032
13;0,044796;0,017829;0;0,89967;0,77616;0,84659;0,38304;0,04275;0,014356;0;0,015007;0,015007;0,015007
14;0,043877;0,017532;0;0,90553;0,7794;0,84882;0,38876;0,042406;0,014731;0;0,014982;0,014982;0,014982
15;0,043604;0,017247;0;0,90924;0,78264;0,86473;0,39028;0,042546;0,014291;0;0,014957;0,014957;0,014957
16;0,042856;0,017114;0;0,91334;0,79886;0,86036;0,39827;0,0426;0,014017;0;0,014932;0,014932;0,014932
17;0,042608;0,017042;0;0,92185;0,80211;0,87402;0,41102;0,041063;0,014006;0;0,014906;0,014906;0,014906
18;0,042131;0,016678;0;0,91444;0,80617;0,8718;0,41057;0,040648;0,014162;0;0,014881;0,014881;0,014881
19;0,041819;0,016715;0;0,90972;0,80779;0,87733;0,40408;0,041477;0,014337;0;0,014856;0,014856;0,014856
20;0,041401;0,016619;0;0,92014;0,81297;0,88296;0,41053;0,040648;0,013857;0;0,014831;0,014831;0,014831
21;0,040843;0,016588;0;0,91889;0,8086;0,88097;0,42829;0,040292;0,013871;0;0,014805;0,014805;0,014805
22;0,040977;0,016375;0;0,91171;0,81316;0,88068;0,4155;0,040583;0,013857;0;0,01478;0,01478;0,01478
23;0,040593;0,016368;0;0,92259;0,82563;0,88847;0,42842;0,040103;0,013663;0;0,014755;0,014755;0,014755
24;0,039744;0,016131;0;0,92686;0,83249;0,88951;0,43704;0,039576;0,013338;0;0,01473;0,01473;0,01473
25;0,03966;0,016274;0;0,9262;0,82644;0,89442;0,42739;0,04017;0,013681;0;0,014704;0,014704;0,014704
26;0,039732;0,015889;0;0,91031;0,82806;0,88626;0,43184;0,039779;0,01367;0;0,014679;0,014679;0,014679
27;0,039246;0,015953;0;0,92848;0,82157;0,88727;0,41984;0,039796;0,013477;0;0,014654;0,014654;0,014654
28;0,039278;0,015804;0;0,9233;0,82004;0,8813;0,42759;0,039992;0,013779;0;0,014629;0,014629;0,014629
29;0,038863;0,015654;0;0,91903;0,8159;0,87584;0,43496;0,040555;0,014082;0;0,014604;0,014604;0,014604
30;0,038818;0,015423;0;0,92917;0,81984;0,89033;0,43384;0,039487;0,013183;0;0,014578;0,014578;0,014578
31;0,038863;0,015698;0;0,93462;0,83536;0,89065;0,45483;0,038084;0,013118;0;0,014553;0,014553;0,014553
32;0,038437;0,015473;0;0,92895;0,81649;0,88369;0,43048;0,039796;0,013646;0;0,014528;0,014528;0,014528
33;0,038258;0,01568;0;0,93288;0,8342;0,89101;0,44972;0,039019;0,013701;0;0,014503;0,014503;0,014503
34;0,037655;0,015222;0;0,90648;0,83334;0,89082;0,44761;0,038727;0,013414;0;0,014477;0,014477;0,014477
35;0,037715;0,015418;0;0,93225;0,83617;0,90095;0,45358;0,038443;0,013355;0;0,014452;0,014452;0,014452
36;0,037698;0,015355;0;0,93145;0,81671;0,88909;0,4562;0,038751;0,013586;0;0,014427;0,014427;0,014427
37;0,03746;0,015311;0;0,92686;0,82217;0,89324;0,45219;0,038796;0,013736;0;0,014402;0,014402;0,014402
38;0,037356;0,015193;0;0,94054;0,84104;0,90624;0,45385;0,038878;0,013273;0;0,014376;0,014376;0,014376
39;0,037139;0,015289;0;0,92957;0,8243;0,89304;0,45227;0,03876;0,013236;0;0,014351;0,014351;0,014351
40;0,036689;0,014944;0;0,92053;0,83606;0,89331;0,4653;0,038649;0,01337;0;0,014326;0,014326;0,014326
41;0,0371;0,015254;0;0,93511;0,81808;0,89295;0,45862;0,038641;0,013378;0;0,014301;0,014301;0,014301
42;0,036458;0,014983;0;0,93189;0,83229;0,89308;0,45146;0,038664;0,013224;0;0,014276;0,014276;0,014276
43;0,036373;0,014976;0;0,94043;0,81945;0,89429;0,45497;0,038947;0,013305;0;0,01425;0,01425;0,01425
44;0,036355;0,014809;0;0,92381;0,83049;0,89838;0,46665;0,03791;0,013189;0;0,014225;0,014225;0,014225
45;0,036106;0,014797;0;0,93463;0,83485;0,89739;0,46813;0,038143;0,013448;0;0,0142;0,0142;0,0142
46;0,03567;0,014729;0;0,92975;0,8373;0,89858;0,46692;0,037434;0,013269;0;0,014175;0,014175;0,014175
47;0,036269;0,01495;0;0,94498;0,83573;0,90345;0,4691;0,038008;0,013246;0;0,014149;0,014149;0,014149
48;0,036189;0,014923;0;0,93361;0,8459;0,90055;0,46399;0,037934;0,013309;0;0,014124;0,014124;0,014124
49;0,035765;0,014573;0;0,91756;0,84849;0,905;0,47078;0,037365;0,013039;0;0,014099;0,014099;0,014099
50;0,035954;0,014712;0;0,92795;0,84611;0,90656;0,46271;0,038243;0,01323;0;0,014074;0,014074;0,014074
51;0,035524;0,014759;0;0,94174;0,82725;0,90007;0,4774;0,037089;0,013219;0;0,014048;0,014048;0,014048
52;0,035761;0,014749;0;0,9473;0,84556;0,90545;0,47553;0,03709;0,013538;0;0,014023;0,014023;0,014023
53;0,035728;0,014797;0;0,93103;0,84297;0,90162;0,47593;0,036957;0,013332;0;0,013998;0,013998;0,013998
54;0,034994;0,014525;0;0,92011;0,85939;0,91264;0,48313;0,037293;0,013002;0;0,013973;0,013973;0,013973
55;0,035078;0,01455;0;0,93671;0,83942;0,90718;0,48224;0,037259;0,013133;0;0,013947;0,013947;0,013947
56;0,035447;0,014549;0;0,94487;0,84023;0,90822;0,47591;0,037804;0,013232;0;0,013922;0,013922;0,013922
57;0,034914;0,014152;0;0,93115;0,84753;0,90784;0,47966;0,036759;0,012947;0;0,013897;0,013897;0,013897
58;0,035041;0,014195;0;0,93626;0,84266;0,90281;0,4825;0,036813;0,013218;0;0,013872;0,013872;0,013872
59;0,034599;0,014415;0;0,92728;0,84753;0,90471;0,48651;0,036975;0,012988;0;0,013847;0,013847;0,013847
60;0,034732;0,014434;0;0,94192;0,85493;0,91136;0,48417;0,036202;0,012551;0;0,013821;0,013821;0,013821
61;0,034835;0,014582;0;0,94546;0,84266;0,90973;0,48985;0,036313;0,012579;0;0,013796;0,013796;0,013796
62;0,034716;0,0144;0;0,93531;0,84429;0,91126;0,48899;0,036197;0,012868;0;0,013771;0,013771;0,013771
63;0,034737;0,014169;0;0,94251;0,84915;0,90952;0,48509;0,036403;0,012865;0;0,013746;0,013746;0,013746
64;0,034433;0,014108;0;0,95432;0,83029;0,90763;0,49784;0,036437;0,012915;0;0,01372;0,01372;0,01372
65;0,03464;0,014083;0;0,93109;0,84996;0,91117;0,49261;0,036323;0,012969;0;0,013695;0,013695;0,013695
66;0,034885;0,014402;0;0,94448;0,84172;0,913;0,491;0,036841;0,013156;0;0,01367;0,01367;0,01367
67;0,034317;0,014128;0;0,93769;0,83604;0,90509;0,47439;0,037338;0,013221;0;0,013645;0,013645;0,013645
68;0,034447;0,013925;0;0,92332;0,84959;0,91248;0,50027;0,036018;0,012615;0;0,013619;0,013619;0,013619
69;0,033854;0,013978;0;0,93178;0,8474;0,90698;0,49352;0,036708;0,012709;0;0,013594;0,013594;0,013594
70;0,034204;0,014062;0;0,94135;0,84618;0,91479;0,4935;0,036075;0,012875;0;0,013569;0,013569;0,013569
71;0,03397;0,014037;0;0,9389;0,84748;0,90475;0,49095;0,036657;0,013081;0;0,013544;0,013544;0,013544
72;0,034038;0,014097;0;0,93919;0,8459;0,91438;0,49767;0,035821;0,012848;0;0,013519;0,013519;0,013519
73;0,033496;0,014166;0;0,94598;0,83787;0,90584;0,48596;0,036911;0,013109;0;0,013493;0,013493;0,013493
74;0,033434;0,01374;0;0,94904;0,83942;0,91297;0,49228;0,036075;0,012842;0;0,013468;0,013468;0,013468
