               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11366,              0.0335,                   0,          0.00031299,            0.028612,          0.00016136,          3.2804e-05,             0.10827,            0.028892,                   0,           0.0052807,           0.0052807,            0.066374
                   1,             0.10204,            0.032561,                   0,             0.10423,             0.22041,            0.044239,           0.0071647,             0.09018,            0.047188,                   0,            0.010567,            0.010567,            0.039244
                   2,            0.086523,            0.030156,                   0,             0.12327,             0.32603,            0.069865,            0.012717,            0.082105,            0.044571,                   0,            0.015209,            0.015209,            0.015209
                   3,            0.079761,            0.028974,                   0,             0.41341,             0.30089,             0.21959,            0.042749,            0.073316,            0.022916,                   0,            0.015209,            0.015209,            0.015209
                   4,            0.075387,            0.027453,                   0,             0.60138,             0.41119,             0.40635,             0.10409,            0.064975,            0.023058,                   0,            0.015159,            0.015159,            0.015159
                   5,             0.07234,            0.027123,                   0,             0.65116,             0.46391,             0.46251,             0.13127,            0.060645,            0.020826,                   0,            0.015108,            0.015108,            0.015108
                   6,            0.069416,            0.026092,                   0,             0.68243,             0.50892,             0.51117,             0.14779,            0.058417,            0.021021,                   0,            0.015058,            0.015058,            0.015058
                   7,            0.066631,             0.02562,                   0,             0.73874,             0.55496,             0.56364,             0.17307,            0.056624,            0.019958,                   0,            0.015007,            0.015007,            0.015007
                   8,            0.064868,            0.025211,                   0,             0.71963,             0.54501,             0.58786,             0.17718,            0.057401,            0.018513,                   0,            0.014957,            0.014957,            0.014957
                   9,            0.062041,            0.024196,                   0,             0.77236,             0.59448,             0.64115,             0.20037,            0.055151,            0.018203,                   0,            0.014906,            0.014906,            0.014906
                  10,            0.061074,            0.024027,                   0,             0.77755,             0.61638,             0.65862,             0.20057,            0.055324,            0.018628,                   0,            0.014856,            0.014856,            0.014856
                  11,            0.059855,            0.023473,                   0,             0.80408,             0.64152,              0.7019,             0.23979,            0.052038,            0.017501,                   0,            0.014805,            0.014805,            0.014805
                  12,            0.058269,            0.023301,                   0,             0.82537,             0.65937,             0.72741,             0.25643,             0.05003,            0.017338,                   0,            0.014755,            0.014755,            0.014755
                  13,            0.057644,            0.022572,                   0,              0.7914,             0.68451,             0.71309,             0.25161,            0.051048,            0.016945,                   0,            0.014704,            0.014704,            0.014704
                  14,            0.056356,            0.022253,                   0,             0.82593,             0.68884,             0.74653,             0.27283,            0.049285,            0.016594,                   0,            0.014654,            0.014654,            0.014654
                  15,             0.05515,            0.021578,                   0,             0.88356,              0.6837,             0.77676,             0.29481,            0.047793,            0.016242,                   0,            0.014604,            0.014604,            0.014604
                  16,            0.054202,             0.02158,                   0,              0.8752,             0.72019,             0.79508,             0.30659,            0.047658,            0.015806,                   0,            0.014553,            0.014553,            0.014553
                  17,            0.053212,             0.02109,                   0,             0.86698,             0.72019,             0.79127,             0.30221,            0.047748,            0.015925,                   0,            0.014503,            0.014503,            0.014503
                  18,            0.052747,            0.020784,                   0,             0.86459,             0.73074,             0.79127,             0.29547,            0.048488,            0.015898,                   0,            0.014452,            0.014452,            0.014452
                  19,            0.051857,            0.020612,                   0,             0.87521,             0.73376,             0.79898,             0.32686,            0.046756,            0.015867,                   0,            0.014402,            0.014402,            0.014402
                  20,            0.051494,            0.020482,                   0,             0.86626,             0.77225,             0.82584,             0.33713,             0.04533,            0.014974,                   0,            0.014351,            0.014351,            0.014351
                  21,            0.050274,              0.0202,                   0,              0.8727,             0.77291,             0.82736,             0.34755,            0.044437,            0.015182,                   0,            0.014301,            0.014301,            0.014301
                  22,            0.050149,            0.020051,                   0,             0.90727,             0.76075,             0.83499,             0.34858,            0.044682,             0.01493,                   0,             0.01425,             0.01425,             0.01425
