   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.89792,              0.7776,              0.8439,             0.37836,            0.049704,            0.015177,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.5,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.89533,             0.76311,             0.83114,             0.37039,            0.048732,            0.016012,                   0,             0.01041,                0.01,             0.91382,             0.00046,               2.754,             0.73445,             0.09165,             0.04857,             0.45974,             0.95446,             0.97389,              1.1041,                 0.5,              4.0578,                   0,             0.01656,             0.69334,             0.37962,                   0,             0.10479,             0.51029,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.87922,             0.78264,             0.84969,             0.36892,            0.042203,            0.014159,                   0,             0.01355,             0.01112,                0.98,             0.00043,                   3,                 0.8,             0.09636,             0.04179,             0.50879,             0.88551,             0.91128,              1.0533,                 0.5,               4.381,                   0,             0.01598,                 0.7,                 0.4,                   0,                 0.1,             0.45559,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.8456
             0.92235,             0.78345,             0.86794,             0.39285,            0.040143,            0.012849,                   0,             0.01355,             0.01114,             0.96408,             0.00044,              2.8241,             0.77674,             0.09004,             0.04091,             0.47088,              0.8437,             0.87409,              1.0192,                 0.5,               4.381,                   0,             0.01396,             0.72232,              0.4316,                   0,             0.10416,             0.46843,                   0,                   0,                   0,                 0.5,             0.91296,                   0,                   0,              3.6641
             0.91239,             0.77291,             0.84678,             0.37135,            0.049599,            0.015497,                   0,             0.01003,             0.01005,               0.937,              0.0005,                   3,              0.8119,             0.09926,             0.04936,                 0.5,             0.99577,              1.0038,                   1,                 0.5,              4.0451,                   0,             0.01496,                 0.7,                 0.4,                   0,             0.10048,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9492
             0.90675,             0.79562,             0.87199,               0.411,            0.047686,              0.0215,                   0,             0.01003,                0.01,             0.92135,             0.00047,                   3,              0.8119,             0.09926,             0.04969,             0.59547,             0.99577,              1.3853,               1.118,                 0.5,              4.4698,                   0,             0.01504,                 0.7,             0.36584,                   0,             0.10048,             0.18154,                   0,                   0,                   0,                 0.5,             0.97992,                   0,                   0,              2.2243
             0.90007,             0.76075,             0.83843,             0.37513,            0.057571,            0.016637,                   0,             0.01002,                0.01,               0.937,             0.00051,              3.3738,             0.78538,              0.1035,             0.05811,             0.41039,              1.0838,              1.1552,              1.0205,                 0.5,              3.4668,                   0,             0.01559,              0.7339,             0.37183,                   0,             0.11731,             0.50781,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.5991
               0.883,             0.76512,             0.84502,             0.36861,            0.050038,            0.015069,                   0,             0.00994,                0.01,             0.91372,             0.00047,                   3,             0.82949,             0.09362,                0.05,             0.49208,              1.0697,             0.98663,             0.99593,                 0.5,              4.0224,                   0,             0.01493,             0.69395,                 0.4,                   0,             0.10326,             0.51835,                   0,                   0,                   0,                 0.5,             0.95975,                   0,                   0,              2.8581
             0.89992,              0.7648,             0.83979,              0.3848,             0.04328,            0.016519,                   0,             0.00747,                0.01,             0.96461,             0.00052,                   3,                 0.8,             0.08813,             0.04335,             0.50533,              1.0191,              1.1105,             0.97569,                 0.5,              4.3609,                   0,             0.01368,             0.70408,             0.42144,                   0,             0.10326,             0.51518,                   0,                   0,                   0,                 0.5,             0.97489,                   0,                   0,              2.8676
               0.886,             0.77129,             0.84191,             0.37512,            0.044214,            0.015686,                   0,             0.00897,                0.01,                0.98,             0.00052,              3.0292,                 0.8,             0.09291,             0.04381,             0.55563,              1.1928,              1.0534,             0.91034,                 0.5,              4.8792,                   0,             0.01312,             0.64694,             0.42954,                   0,             0.09115,             0.51518,                   0,                   0,                   0,                 0.5,             0.93727,                   0,                   0,              3.3507
             0.90148,             0.76318,             0.84604,             0.37978,            0.040968,            0.017682,                   0,             0.00747,              0.0111,                0.98,             0.00053,                   3,             0.76975,             0.08994,             0.04098,             0.52321,              1.0191,               1.185,             0.92289,                 0.5,              4.3609,                   0,             0.01435,             0.69113,             0.44033,                   0,              0.1068,             0.52496,                   0,                   0,                   0,                 0.5,             0.97489,                   0,                   0,              2.7426
             0.90606,             0.76075,             0.84593,             0.38375,            0.043139,            0.015046,                   0,             0.00878,                0.01,              0.9728,             0.00057,              2.9408,                 0.8,             0.08882,             0.04335,             0.49696,              1.0049,              1.0597,             0.93221,                 0.5,              4.1083,                   0,             0.01392,             0.57543,             0.39418,                   0,             0.11807,             0.50906,                   0,                   0,                   0,                 0.5,              0.8415,                   0,                   0,              2.8676
             0.87412,              0.7429,             0.81722,             0.35866,            0.042873,            0.015405,                   0,             0.00919,                0.01,              0.9728,             0.00057,              2.9408,             0.76955,             0.07443,              0.0408,             0.32471,              1.0049,              1.0728,             0.79325,                 0.5,              4.8819,                   0,             0.01392,             0.68961,              0.4575,                   0,             0.11807,             0.67055,                   0,                   0,                   0,                 0.5,             0.73602,                   0,                   0,              2.8009
             0.87948,              0.7575,             0.82202,             0.36756,            0.045158,            0.014668,                   0,              0.0094,                0.01,                0.98,             0.00056,              2.9259,             0.79258,             0.09907,               0.044,             0.44993,              0.9358,             0.95201,             0.93221,                 0.5,              4.1083,                   0,             0.01214,              0.5896,             0.43025,                   0,             0.10914,             0.50906,                   0,                   0,                   0,                 0.5,             0.78137,                   0,                   0,              2.3319
             0.92117,             0.79612,             0.87041,             0.39538,             0.03991,            0.014546,                   0,             0.00952,             0.01013,                0.98,             0.00063,              2.6069,                0.95,             0.09876,             0.04029,             0.63665,              1.1823,             0.98724,             0.90351,                 0.5,              5.2547,                   0,             0.01636,             0.57543,             0.31431,                   0,             0.13711,             0.27182,                   0,                   0,                   0,                 0.5,              0.8415,                   0,                   0,                   2
             0.89579,             0.75912,             0.83434,             0.36623,            0.041002,            0.014788,                   0,              0.0148,             0.01114,                0.98,             0.00041,              2.8241,             0.60608,             0.09924,             0.04091,             0.54318,             0.67951,             0.88693,              1.1568,                 0.5,              4.8309,                   0,             0.01604,             0.76135,             0.43358,                   0,              0.0959,             0.48984,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.5747
             0.86598,             0.77558,             0.83392,             0.36151,            0.040059,            0.014086,                   0,             0.01374,              0.0122,                0.98,             0.00045,              2.9069,             0.79101,             0.09004,             0.03921,             0.43065,             0.80121,             0.87409,              1.0345,                 0.5,              4.4953,                   0,             0.01352,             0.70867,             0.39659,                   0,             0.10941,             0.50632,                   0,                   0,                   0,                 0.5,             0.93021,                   0,                   0,              3.4044
             0.90944,             0.78427,             0.85431,             0.38409,            0.045143,            0.013472,                   0,             0.01028,             0.01101,               0.961,             0.00041,              3.0919,                0.95,             0.11057,             0.04457,             0.47088,             0.91489,             0.83549,               1.093,                 0.5,              5.3085,                   0,             0.01694,             0.59541,              0.3912,                   0,             0.09051,             0.48431,                   0,                   0,                   0,                 0.5,             0.94963,                   0,                   0,              4.4565
              0.9155,               0.794,             0.87024,             0.40347,            0.039082,            0.012457,                   0,             0.01515,             0.01114,             0.96408,             0.00044,              2.8514,             0.70645,             0.08794,             0.04209,             0.43659,             0.99721,             0.84261,              1.0922,                 0.5,              4.0888,                   0,             0.01198,             0.72232,             0.39992,                   0,             0.11973,             0.38005,                   0,                   0,                   0,                 0.5,             0.79485,                   0,                   0,              5.0388
             0.90907,             0.76886,             0.85616,             0.39411,            0.037784,            0.012091,                   0,             0.01416,             0.01069,             0.94803,             0.00046,               2.448,             0.74553,             0.09971,             0.04091,             0.47088,             0.69724,             0.94033,              1.0192,                 0.5,              3.5162,                   0,             0.01349,             0.84403,             0.43841,                   0,             0.12592,             0.46843,                   0,                   0,                   0,                 0.5,             0.82432,                   0,                   0,              5.6786
             0.89331,             0.79805,             0.86014,             0.38794,            0.043047,            0.014672,                   0,             0.00937,             0.01005,                0.98,             0.00064,              2.7384,             0.75656,             0.11623,             0.04236,             0.63665,               1.123,             0.96692,               0.926,                 0.5,               5.174,                   0,             0.01636,             0.57543,              0.3159,                   0,              0.1341,             0.27911,                   0,                   0,                   0,                 0.5,             0.90742,                   0,                   0,                   2
