               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
0;             0.11552;            0.031408;0;0;0;0;0;0;0;0;           0.0033077;           0.0033077;            0.070231
1;            0.084672;            0.026429;0;0;0;0;0;0;0;0;           0.0059836;           0.0059836;            0.039573
2;            0.076933;            0.025481;0;0;0;0;0;0;0;0;           0.0079994;           0.0079994;           0.0082558
3;            0.071423;            0.025758;0;0;0;0;0;0;0;0;             0.00703;             0.00703;             0.00703
4;            0.066087;            0.023719;0;0;0;0;0;0;0;0;             0.00703;             0.00703;             0.00703
5;            0.062647;            0.023074;0;0;0;0;0;0;0;0;             0.00604;             0.00604;             0.00604
6;            0.058875;            0.022187;0;0;0;0;0;0;0;0;             0.00505;             0.00505;             0.00505
7;             0.05649;            0.021253;0;0;0;0;0;0;0;0;             0.00406;             0.00406;             0.00406
8;            0.054218;            0.020357;0;0;0;0;0;0;0;0;             0.00307;             0.00307;             0.00307
9;            0.053248;            0.019848;0;             0.89792;              0.7776;              0.8439;             0.37836;            0.049704;            0.015177;0;             0.00208;             0.00208;             0.00208
0;             0.11502;            0.032207;0;0;0;0;0;0;0;0;           0.0037511;           0.0037511;            0.062376
1;            0.085946;            0.027516;0;0;0;0;0;0;0;0;           0.0067857;           0.0067857;             0.03213
2;            0.076886;            0.026312;0;0;0;0;0;0;0;0;           0.0083488;           0.0083488;           0.0083488
3;             0.06925;            0.025902;0;0;0;0;0;0;0;0;           0.0083488;           0.0083488;           0.0083488
4;            0.063331;            0.024178;0;0;0;0;0;0;0;0;           0.0073182;           0.0073182;           0.0073182
5;            0.060146;            0.023499;0;0;0;0;0;0;0;0;           0.0062876;           0.0062876;           0.0062876
6;            0.056921;             0.02271;0;0;0;0;0;0;0;0;           0.0052571;           0.0052571;           0.0052571
7;             0.05488;            0.021802;0;0;0;0;0;0;0;0;           0.0042265;           0.0042265;           0.0042265
8;            0.052512;            0.020877;0;0;0;0;0;0;0;0;           0.0031959;           0.0031959;           0.0031959
9;            0.051567;            0.020411;0;             0.89533;             0.76311;             0.83114;             0.37039;            0.048732;            0.016012;0;           0.0021653;           0.0021653;           0.0021653
0;            0.096071;            0.028901;0;0;0;0;0;0;0;0;           0.0044819;           0.0044819;            0.068969
1;            0.070821;            0.025309;0;0;0;0;0;0;0;0;           0.0081087;           0.0081087;            0.040476
2;            0.063105;            0.024287;0;0;0;0;0;0;0;0;            0.010842;            0.010842;            0.011089
3;            0.059545;            0.024489;0;0;0;0;0;0;0;0;           0.0095302;           0.0095302;           0.0095302
4;            0.056048;            0.023235;0;0;0;0;0;0;0;0;           0.0095302;           0.0095302;           0.0095302
5;            0.053581;            0.022333;0;0;0;0;0;0;0;0;           0.0081903;           0.0081903;           0.0081903
6;            0.051009;            0.021828;0;0;0;0;0;0;0;0;           0.0068503;           0.0068503;           0.0068503
7;            0.048927;            0.020747;0;0;0;0;0;0;0;0;           0.0055104;           0.0055104;           0.0055104
8;            0.047302;            0.019981;0;0;0;0;0;0;0;0;           0.0041705;           0.0041705;           0.0041705
9;            0.046095;            0.019053;0;             0.87922;             0.78264;             0.84969;             0.36892;            0.042203;            0.014159;0;           0.0028305;           0.0028305;           0.0028305
0;            0.095463;            0.027198;0;0;0;0;0;0;0;0;           0.0047628;           0.0047628;            0.063154
1;            0.070729;             0.02354;0;0;0;0;0;0;0;0;           0.0086169;           0.0086169;            0.035114
2;            0.063133;            0.022767;0;0;0;0;0;0;0;0;             0.01087;             0.01087;             0.01087
3;            0.058206;            0.022355;0;0;0;0;0;0;0;0;             0.01087;             0.01087;             0.01087
4;            0.054256;            0.021647;0;0;0;0;0;0;0;0;           0.0095303;           0.0095303;           0.0095303
5;              0.0508;            0.019823;0;0;0;0;0;0;0;0;           0.0081904;           0.0081904;           0.0081904
6;            0.048962;            0.019674;0;0;0;0;0;0;0;0;           0.0068505;           0.0068505;           0.0068505
7;            0.047095;            0.018761;0;0;0;0;0;0;0;0;           0.0055106;           0.0055106;           0.0055106
8;            0.045587;             0.01818;0;0;0;0;0;0;0;0;           0.0041707;           0.0041707;           0.0041707
9;            0.043893;            0.017287;0;             0.92235;             0.78345;             0.86794;             0.39285;            0.040143;            0.012849;0;           0.0028308;           0.0028308;           0.0028308
0;             0.11351;            0.031403;0;0;0;0;0;0;0;0;           0.0033176;           0.0033176;            0.069745
1;            0.083061;            0.026509;0;0;0;0;0;0;0;0;           0.0060015;           0.0060015;            0.039343
2;            0.075554;            0.025478;0;0;0;0;0;0;0;0;           0.0080235;           0.0080235;            0.008278
3;            0.068283;            0.024921;0;0;0;0;0;0;0;0;           0.0070512;           0.0070512;           0.0070512
4;            0.064262;            0.023526;0;0;0;0;0;0;0;0;           0.0070512;           0.0070512;           0.0070512
5;            0.060795;            0.022953;0;0;0;0;0;0;0;0;           0.0060583;           0.0060583;           0.0060583
6;            0.057606;            0.022107;0;0;0;0;0;0;0;0;           0.0050654;           0.0050654;           0.0050654
7;            0.055244;            0.021175;0;0;0;0;0;0;0;0;           0.0040725;           0.0040725;           0.0040725
8;            0.053133;            0.020267;0;0;0;0;0;0;0;0;           0.0030796;           0.0030796;           0.0030796
9;            0.052014;            0.019717;0;             0.91239;             0.77291;             0.84678;             0.37135;            0.049599;            0.015497;0;           0.0020866;           0.0020866;           0.0020866
0;              0.1099;            0.041865;0;0;0;0;0;0;0;0;           0.0033176;           0.0033176;            0.069745
1;            0.081989;            0.037344;0;0;0;0;0;0;0;0;           0.0060015;           0.0060015;            0.039343
2;             0.07471;            0.034879;0;0;0;0;0;0;0;0;           0.0080234;           0.0080234;           0.0082779
3;            0.067566;            0.033658;0;0;0;0;0;0;0;0;           0.0070511;           0.0070511;           0.0070511
4;            0.063579;            0.032362;0;0;0;0;0;0;0;0;           0.0070511;           0.0070511;           0.0070511
5;            0.059238;            0.030648;0;0;0;0;0;0;0;0;           0.0060581;           0.0060581;           0.0060581
6;            0.056515;            0.028679;0;0;0;0;0;0;0;0;           0.0050652;           0.0050652;           0.0050652
7;            0.053481;            0.028177;0;0;0;0;0;0;0;0;           0.0040722;           0.0040722;           0.0040722
8;            0.051478;            0.026838;0;0;0;0;0;0;0;0;           0.0030792;           0.0030792;           0.0030792
9;            0.049776;            0.026066;0;             0.90675;             0.79562;             0.87199;               0.411;            0.047686;              0.0215;0;           0.0020862;           0.0020862;           0.0020862
0;             0.13197;            0.035825;0;0;0;0;0;0;0;0;           0.0029444;           0.0029444;            0.076031
1;            0.096342;             0.03014;0;0;0;0;0;0;0;0;           0.0053263;           0.0053263;            0.047764
