               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098235,            0.024602,                   0,             0.34497,             0.27764,             0.19575,            0.040865,             0.07805,            0.016379,                   0,           0.0033077,           0.0033077,            0.070231
                   1,            0.069624,               0.018,                   0,             0.46887,             0.45012,             0.36715,            0.090203,            0.062705,            0.012585,                   0,           0.0066301,           0.0066301,             0.04022
                   2,            0.063745,            0.016803,                   0,             0.66348,             0.48337,             0.51881,             0.16179,            0.062329,            0.013132,                   0,           0.0099414,           0.0099414,            0.010198
                   3,            0.058292,            0.016274,                   0,             0.76102,             0.59367,             0.62888,             0.21594,            0.053397,            0.012251,                   0,           0.0099505,           0.0099505,           0.0099505
                   4,             0.05434,            0.015282,                   0,             0.76151,             0.57908,             0.62735,             0.21658,            0.051524,            0.011687,                   0,           0.0099505,           0.0099505,           0.0099505
                   5,            0.051728,            0.014724,                   0,             0.82067,              0.6545,             0.71643,             0.25446,            0.049688,            0.010691,                   0,            0.009934,            0.009934,            0.009934
                   6,            0.049271,            0.014346,                   0,             0.80471,             0.62693,              0.6837,             0.24357,            0.050575,            0.010698,                   0,           0.0099175,           0.0099175,           0.0099175
                   7,            0.048298,            0.013862,                   0,             0.83398,             0.67072,             0.73975,             0.27019,            0.048263,           0.0099862,                   0,            0.009901,            0.009901,            0.009901
                   8,            0.046108,            0.013303,                   0,             0.87618,             0.71046,             0.76842,             0.32805,             0.04406,            0.010168,                   0,           0.0098845,           0.0098845,           0.0098845
                   9,            0.046091,            0.013206,                   0,             0.86397,             0.70235,              0.7754,              0.3196,            0.043202,           0.0099813,                   0,            0.009868,            0.009868,            0.009868
                  10,             0.04487,            0.013209,                   0,             0.88197,             0.69505,             0.77325,             0.32658,            0.043688,           0.0097493,                   0,           0.0098515,           0.0098515,           0.0098515
                  11,            0.042772,            0.012462,                   0,             0.88156,             0.72182,             0.79649,             0.34496,            0.042431,             0.00987,                   0,            0.009835,            0.009835,            0.009835
                  12,            0.043799,            0.012643,                   0,             0.88201,             0.70965,             0.78381,             0.33668,             0.04283,           0.0095618,                   0,           0.0098185,           0.0098185,           0.0098185
                  13,            0.042459,            0.012763,                   0,             0.87009,             0.71695,             0.79601,             0.33493,            0.043035,           0.0096944,                   0,            0.009802,            0.009802,            0.009802
                  14,            0.041991,            0.012331,                   0,             0.89386,             0.70884,             0.79357,             0.34042,            0.042609,            0.009298,                   0,           0.0097855,           0.0097855,           0.0097855
                  15,            0.040617,            0.011891,                   0,             0.90035,             0.74128,             0.82349,             0.36994,            0.039753,           0.0091548,                   0,            0.009769,            0.009769,            0.009769
                  16,            0.040666,            0.011886,                   0,             0.86643,              0.7575,             0.82012,             0.35152,            0.041108,            0.009177,                   0,           0.0097525,           0.0097525,           0.0097525
                  17,            0.040552,             0.01179,                   0,             0.90237,             0.75708,             0.82972,             0.36934,            0.039567,           0.0092024,                   0,            0.009736,            0.009736,            0.009736
                  18,            0.039743,            0.011669,                   0,             0.89687,             0.76175,             0.83133,             0.37838,            0.039896,           0.0091015,                   0,           0.0097195,           0.0097195,           0.0097195
                  19,            0.039441,             0.01156,                   0,              0.9116,             0.74615,             0.83885,             0.38283,            0.038971,           0.0089093,                   0,            0.009703,            0.009703,            0.009703
                  20,            0.037985,            0.011425,                   0,             0.87611,             0.76856,              0.8346,             0.38598,            0.038816,           0.0090588,                   0,           0.0096865,           0.0096865,           0.0096865
                  21,             0.03775,            0.011458,                   0,             0.89259,             0.76833,              0.8333,             0.35971,            0.040543,           0.0089803,                   0,             0.00967,             0.00967,             0.00967
                  22,            0.037865,            0.011217,                   0,             0.90031,             0.75345,             0.83591,             0.37085,             0.04013,           0.0089664,                   0,           0.0096535,           0.0096535,           0.0096535
                  23,            0.037729,            0.011201,                   0,              0.9053,             0.78183,             0.84557,             0.39621,            0.038064,             0.00874,                   0,            0.009637,            0.009637,            0.009637
